[2019-11-18 15:10:50,909]-[INFO]-CommuServer(389)日志配置设置成功!
[2019-11-18 15:10:54,915]-[DEBUG]-DeviceDao(50)2019-11-18 15:10:54 取得信息from w_op_cod_com_status_mapping
[2019-11-18 15:10:55,656]-[DEBUG]-CommuLogLevelThread(53)设置日志级别为：1
[2019-11-18 15:10:55,694]-[INFO]-CommuServer(959)缺省消息最大处理时间60
[2019-11-18 15:10:55,695]-[DEBUG]-ComThreadPoolMonitorDao(42)insert into w_acc_cm.w_cm_trd_monitor_his(water_no,reason_id,dump_date,thread_id,thread_name,thread_status,msg_id,msg_name,hdl_time_start,hdl_end_time,remark)  select w_acc_cm.w_seq_w_cm_trd_monitor_his.nextval,?,sysdate,thread_id,thread_name,thread_status,msg_id,msg_name,hdl_time_start,hdl_end_time,remark  from w_acc_cm.w_cm_trd_monitor 
[2019-11-18 15:10:55,760]-[INFO]-CommuServer(963)转存线程池状态表数据，共:0记录
[2019-11-18 15:10:55,849]-[INFO]-CommuServer(77)参数下发监听已启动 ...
[2019-11-18 15:10:55,851]-[INFO]-CommuThreadManager(43)3个处理线程已启动!
[2019-11-18 15:10:55,852]-[INFO]-CommuServer(375)缓存清理线程已启动 !
[2019-11-18 15:10:55,853]-[INFO]-CommuServer(362)消息队列管理线程已启动!
[2019-11-18 15:10:55,853]-[INFO]-CommuBufferClearThread(89)进站缓存清理开始...
[2019-11-18 15:10:55,854]-[INFO]-CommuServer(98)连接池监听正在启动 ...
[2019-11-18 15:10:55,854]-[INFO]-CommuServer(103)日志级别监听已启动 ...
[2019-11-18 15:10:55,855]-[INFO]-CommuServer(107)设备参数版本查询线程已启动 ...
[2019-11-18 15:10:55,856]-[INFO]-CommuServer(368)线程池监控已启动 !
[2019-11-18 15:10:55,856]-[INFO]-CommuBufferClearThread(96)出站缓存清理开始...
[2019-11-18 15:10:55,856]-[INFO]-CommuConnectionPoolListener(78)TK票务库连接池监听线程已启动...
[2019-11-18 15:10:55,861]-[INFO]-CommuThreadPoolMonitor(40)线程池监听线程已启动...
[2019-11-18 15:10:55,862]-[INFO]-CommuConnectionPoolListener(78)OP运营库连接池监听线程已启动...
[2019-11-18 15:10:55,862]-[INFO]-CommuConnectionPoolListener(78)CM通讯库连接池监听线程已启动...
[2019-11-18 15:10:55,890]-[INFO]-CommuServer(114)票务接口线程已启动 ...
[2019-11-18 15:10:55,893]-[INFO]-CommuServer(117)一卡通接口线程已启动 ...
[2019-11-18 15:10:55,893]-[INFO]-BusDataImportThread(44)------------------------与一卡通中心文件交互执行begin-------------------------
[2019-11-18 15:10:55,894]-[INFO]-CommuServer(124)TCC接口线程已启动 ...使用标识：1
[2019-11-18 15:10:55,896]-[INFO]-CommuServer(130)定时刷新缓存变量线程已启动 ...
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有1个消息未处理
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有2个消息未处理
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有3个消息未处理
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有4个消息未处理
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有5个消息未处理
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有6个消息未处理
[2019-11-18 15:10:55,985]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有1个消息未处理
[2019-11-18 15:10:55,986]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有2个消息未处理
[2019-11-18 15:10:55,986]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有3个消息未处理
[2019-11-18 15:10:55,986]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有4个消息未处理
[2019-11-18 15:10:55,986]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有5个消息未处理
[2019-11-18 15:10:55,986]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有6个消息未处理
[2019-11-18 15:10:55,986]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有7个消息未处理
[2019-11-18 15:10:55,987]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有8个消息未处理
[2019-11-18 15:10:55,987]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有9个消息未处理
[2019-11-18 15:10:55,987]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有10个消息未处理
[2019-11-18 15:10:55,987]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有11个消息未处理
[2019-11-18 15:10:55,987]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有12个消息未处理
[2019-11-18 15:10:55,987]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有13个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有14个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有15个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有16个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有17个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有18个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有19个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有20个消息未处理
[2019-11-18 15:10:55,988]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有21个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有22个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.16.85 - 消息缓存队列现有1个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.16.85 - 消息缓存队列现有2个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.16.85 - 消息缓存队列现有3个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.16.85 - 消息缓存队列现有4个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.16.85 - 消息缓存队列现有5个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有1个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有2个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有3个消息未处理
[2019-11-18 15:10:55,989]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有4个消息未处理
[2019-11-18 15:10:55,990]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有5个消息未处理
[2019-11-18 15:10:55,990]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有6个消息未处理
[2019-11-18 15:10:55,990]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有7个消息未处理
[2019-11-18 15:10:55,990]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有8个消息未处理
[2019-11-18 15:10:55,990]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有9个消息未处理
[2019-11-18 15:10:55,990]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有10个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有11个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有12个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有13个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有14个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有15个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有16个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有17个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有18个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有19个消息未处理
[2019-11-18 15:10:55,991]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有20个消息未处理
[2019-11-18 15:10:55,992]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有21个消息未处理
[2019-11-18 15:10:55,992]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有22个消息未处理
[2019-11-18 15:10:55,992]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有23个消息未处理
[2019-11-18 15:10:55,993]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有24个消息未处理
[2019-11-18 15:10:55,993]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有25个消息未处理
[2019-11-18 15:10:55,993]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有26个消息未处理
[2019-11-18 15:10:55,993]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有27个消息未处理
[2019-11-18 15:10:55,993]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有28个消息未处理
[2019-11-18 15:10:55,993]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有29个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有30个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有31个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有32个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有33个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有34个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有35个消息未处理
[2019-11-18 15:10:55,994]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有36个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有37个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有38个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有39个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有40个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有41个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有42个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有43个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有44个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有45个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有46个消息未处理
[2019-11-18 15:10:55,995]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有47个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有48个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有49个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有50个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有51个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有52个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有53个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有54个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有55个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有56个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有57个消息未处理
[2019-11-18 15:10:55,996]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有58个消息未处理
[2019-11-18 15:10:55,997]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有59个消息未处理
[2019-11-18 15:10:55,997]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有60个消息未处理
[2019-11-18 15:10:55,997]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有61个消息未处理
[2019-11-18 15:10:55,997]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有62个消息未处理
[2019-11-18 15:10:55,997]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有63个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有64个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有65个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有66个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有67个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有68个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有69个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有70个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有71个消息未处理
[2019-11-18 15:10:55,998]-[DEBUG]-MessageQueueManager(183)172.20.18.138 - 消息缓存队列现有72个消息未处理
[2019-11-18 15:10:56,227]-[DEBUG]-CommuLogLevelThread(53)设置日志级别为：1
[2019-11-18 15:10:56,452]-[INFO]-CommuServer(994)服务器正常启动！正在监听端口 : 5001
[2019-11-18 15:10:56,894]-[DEBUG]-TkTDSDao(40)查询需要处理的配票数据..
[2019-11-18 15:10:56,905]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-4没有需要处理的消息
[2019-11-18 15:10:56,905]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:10:56,906]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-3没有需要处理的消息
[2019-11-18 15:10:56,906]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-5没有需要处理的消息
[2019-11-18 15:10:56,906]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-2没有需要处理的消息
[2019-11-18 15:10:57,407]-[DEBUG]-TkTDSDao(72)查询到0条配票数据
[2019-11-18 15:10:57,407]-[DEBUG]-ConstructMessageTDS(56)未查询到数据...
[2019-11-18 15:10:57,407]-[DEBUG]-TKInterfaceThread(48)票务文件解析任务开始...
[2019-11-18 15:10:57,409]-[DEBUG]-FileLogDao(133)查询需要处理的文件开始
[2019-11-18 15:10:57,414]-[DEBUG]-FileLogDao(167)查询cm_file_recv表[0]条数据.
[2019-11-18 15:10:57,414]-[DEBUG]-FileLogDao(168)查询需要处理的文件结束
[2019-11-18 15:10:57,414]-[DEBUG]-FileLogDao(205)批量更新cm_file_recv表状态，共[0]条数据.
[2019-11-18 15:10:59,888]-[DEBUG]-TkTDSDao(40)查询需要处理的配票数据..
[2019-11-18 15:10:59,890]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:10:59,890]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-2没有需要处理的消息
[2019-11-18 15:10:59,890]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-5没有需要处理的消息
[2019-11-18 15:10:59,890]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-3没有需要处理的消息
[2019-11-18 15:10:59,890]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-4没有需要处理的消息
[2019-11-18 15:10:59,892]-[DEBUG]-TkTDSDao(72)查询到0条配票数据
[2019-11-18 15:10:59,892]-[DEBUG]-ConstructMessageTDS(56)未查询到数据...
[2019-11-18 15:10:59,892]-[DEBUG]-TKInterfaceThread(48)票务文件解析任务开始...
[2019-11-18 15:10:59,892]-[DEBUG]-FileLogDao(133)查询需要处理的文件开始
[2019-11-18 15:10:59,899]-[DEBUG]-FileLogDao(167)查询cm_file_recv表[0]条数据.
[2019-11-18 15:10:59,899]-[DEBUG]-FileLogDao(168)查询需要处理的文件结束
[2019-11-18 15:10:59,899]-[DEBUG]-FileLogDao(205)批量更新cm_file_recv表状态，共[0]条数据.
[2019-11-18 15:11:02,889]-[DEBUG]-TkTDSDao(40)查询需要处理的配票数据..
[2019-11-18 15:11:02,891]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:02,891]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:02,891]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:02,891]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:02,891]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:02,893]-[DEBUG]-TkTDSDao(72)查询到0条配票数据
[2019-11-18 15:11:02,894]-[DEBUG]-ConstructMessageTDS(56)未查询到数据...
[2019-11-18 15:11:02,894]-[DEBUG]-TKInterfaceThread(48)票务文件解析任务开始...
[2019-11-18 15:11:02,894]-[DEBUG]-FileLogDao(133)查询需要处理的文件开始
[2019-11-18 15:11:02,898]-[DEBUG]-FileLogDao(167)查询cm_file_recv表[0]条数据.
[2019-11-18 15:11:02,898]-[DEBUG]-FileLogDao(168)查询需要处理的文件结束
[2019-11-18 15:11:02,898]-[DEBUG]-FileLogDao(205)批量更新cm_file_recv表状态，共[0]条数据.
[2019-11-18 15:11:05,912]-[DEBUG]-TkTDSDao(40)查询需要处理的配票数据..
[2019-11-18 15:11:05,914]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:05,915]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:05,915]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:05,915]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:05,915]-[DEBUG]-TKFileDataInDBThread(30)pool-2-thread-1没有需要处理的消息
[2019-11-18 15:11:05,921]-[DEBUG]-TkTDSDao(72)查询到0条配票数据
[2019-11-18 15:11:05,921]-[DEBUG]-ConstructMessageTDS(56)未查询到数据...
[2019-11-18 15:11:05,921]-[DEBUG]-TKInterfaceThread(48)票务文件解析任务开始...
[2019-11-18 15:11:05,921]-[DEBUG]-FileLogDao(133)查询需要处理的文件开始
[2019-11-18 15:11:05,936]-[DEBUG]-FileLogDao(167)查询cm_file_recv表[0]条数据.
[2019-11-18 15:11:05,937]-[DEBUG]-FileLogDao(168)查询需要处理的文件结束
[2019-11-18 15:11:05,937]-[DEBUG]-FileLogDao(205)批量更新cm_file_recv表状态，共[0]条数据.
[2019-11-18 15:11:06,148]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有1个消息未处理
[2019-11-18 15:11:06,148]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有2个消息未处理
[2019-11-18 15:11:06,148]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有3个消息未处理
[2019-11-18 15:11:06,148]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有4个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有5个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.199 - 消息缓存队列现有6个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有1个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有2个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有3个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有4个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有5个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有6个消息未处理
[2019-11-18 15:11:06,149]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有7个消息未处理
[2019-11-18 15:11:06,150]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有8个消息未处理
[2019-11-18 15:11:06,150]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有9个消息未处理
[2019-11-18 15:11:06,150]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有10个消息未处理
[2019-11-18 15:11:06,150]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有11个消息未处理
[2019-11-18 15:11:06,150]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有12个消息未处理
[2019-11-18 15:11:06,152]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有13个消息未处理
[2019-11-18 15:11:06,152]-[DEBUG]-MessageQueueManager(183)172.20.16.242 - 消息缓存队列现有14个消息未处理
