[2019-11-08 09:47:01,663]-[INFO]-CommuServer(389)日志配置设置成功!
[2019-11-08 09:47:02,640]-[INFO]-CommuServer(398)成功解析配置文件：CommuConfig.xml
[2019-11-08 09:47:02,641]-[INFO]-CommuServer(488)日志备份
[2019-11-08 09:47:02,641]-[INFO]-CommuServer(405)成功初始化socket配置!
[2019-11-08 09:47:02,644]-[INFO]-CommuServer(409)成功初始化客流配置!
[2019-11-08 09:47:02,645]-[INFO]-CommuServer(413)成功初始化线程监控配置!
[2019-11-08 09:47:02,645]-[INFO]-CommuServer(417)成功初始化初始化参数下发配置!
[2019-11-08 09:47:02,645]-[INFO]-CommuServer(421)成功初始化应用相关配置!
[2019-11-08 09:47:02,646]-[INFO]-CommuServer(689)FtpLocalDir:E:/ftpClient/ACCCommu/receive
[2019-11-08 09:47:02,647]-[INFO]-CommuServer(702)BusFtpLocalDir:E:/ftpClient/ACCCommu/import
[2019-11-08 09:47:02,647]-[INFO]-CommuServer(425)成功初始化FTP配置!
[2019-11-08 09:47:03,603]-[DEBUG]-DbcpHelper(34)driverName: oracle.jdbc.driver.OracleDriver
[2019-11-08 09:47:03,603]-[DEBUG]-DbcpHelper(35)URL: jdbc:oracle:thin:@172.20.19.29:1521:wacc
[2019-11-08 09:47:03,603]-[DEBUG]-DbcpHelper(36)dbName: null
[2019-11-08 09:47:03,604]-[DEBUG]-DbcpHelper(39)maxActive: 5
[2019-11-08 09:47:03,604]-[DEBUG]-DbcpHelper(40)maxIdle: 20
[2019-11-08 09:47:03,605]-[DEBUG]-DbcpHelper(41)maxWait: 20000
[2019-11-08 09:47:03,678]-[INFO]-CommuServer(867)运营库连接池OpConnectionPool创建!
[2019-11-08 09:47:03,678]-[DEBUG]-DbcpHelper(34)driverName: oracle.jdbc.driver.OracleDriver
[2019-11-08 09:47:03,678]-[DEBUG]-DbcpHelper(35)URL: jdbc:oracle:thin:@172.20.19.29:1521:wacc
[2019-11-08 09:47:03,679]-[DEBUG]-DbcpHelper(36)dbName: null
[2019-11-08 09:47:03,679]-[DEBUG]-DbcpHelper(39)maxActive: 5
[2019-11-08 09:47:03,680]-[DEBUG]-DbcpHelper(40)maxIdle: 20
[2019-11-08 09:47:03,680]-[DEBUG]-DbcpHelper(41)maxWait: 20000
[2019-11-08 09:47:03,680]-[INFO]-CommuServer(879)通讯库连接池CmConnectionPool创建!
[2019-11-08 09:47:03,681]-[DEBUG]-DbcpHelper(34)driverName: oracle.jdbc.driver.OracleDriver
[2019-11-08 09:47:03,681]-[DEBUG]-DbcpHelper(35)URL: jdbc:oracle:thin:@172.20.19.29:1521:wacc
[2019-11-08 09:47:03,681]-[DEBUG]-DbcpHelper(36)dbName: null
[2019-11-08 09:47:03,681]-[DEBUG]-DbcpHelper(39)maxActive: 5
[2019-11-08 09:47:03,681]-[DEBUG]-DbcpHelper(40)maxIdle: 10
[2019-11-08 09:47:03,681]-[DEBUG]-DbcpHelper(41)maxWait: 20000
[2019-11-08 09:47:03,681]-[INFO]-CommuServer(889)票务库连接池TkConnectionPool创建!
[2019-11-08 09:47:03,681]-[INFO]-CommuServer(435)成功初始化数据库连接池!
[2019-11-08 09:47:03,681]-[INFO]-CommuServer(439)成功初始化线程池配置!
[2019-11-08 09:47:03,682]-[INFO]-CommuServer(443)成功初始化线程池监控配置!
[2019-11-08 09:47:03,705]-[INFO]-CommuServer(447)成功初始化设备参数版本查询配置!
[2019-11-08 09:47:03,706]-[INFO]-CommuServer(451)成功初始化参数自动下发配置!
[2019-11-08 09:47:03,706]-[INFO]-CommuServer(455)成功初始化启动选项控制!
[2019-11-08 09:47:03,706]-[INFO]-CommuServer(460)成功初始化FTP路径!
[2019-11-08 09:47:07,910]-[INFO]-CommuServer(919)运营时间:0205
[2019-11-08 09:47:07,960]-[DEBUG]-DeviceDao(50)2019-11-08 09:47:07 取得信息from w_op_cod_com_status_mapping
[2019-11-08 09:47:08,658]-[DEBUG]-CommuLogLevelThread(53)设置日志级别为：1
[2019-11-08 09:47:08,672]-[INFO]-CommuServer(959)缺省消息最大处理时间60
[2019-11-08 09:47:08,672]-[DEBUG]-ComThreadPoolMonitorDao(42)insert into w_acc_cm.w_cm_trd_monitor_his(water_no,reason_id,dump_date,thread_id,thread_name,thread_status,msg_id,msg_name,hdl_time_start,hdl_end_time,remark)  select w_acc_cm.w_seq_w_cm_trd_monitor_his.nextval,?,sysdate,thread_id,thread_name,thread_status,msg_id,msg_name,hdl_time_start,hdl_end_time,remark  from w_acc_cm.w_cm_trd_monitor 
