[2019-11-05 11:14:28,931]-[INFO]-CommuServer(389)日志配置设置成功!
[2019-11-05 11:14:29,043]-[INFO]-CommuServer(398)成功解析配置文件：CommuConfig.xml
[2019-11-05 11:14:29,045]-[INFO]-CommuServer(488)日志备份
[2019-11-05 11:14:29,045]-[INFO]-CommuServer(405)成功初始化socket配置!
[2019-11-05 11:14:29,049]-[INFO]-CommuServer(409)成功初始化客流配置!
[2019-11-05 11:14:29,050]-[INFO]-CommuServer(413)成功初始化线程监控配置!
[2019-11-05 11:14:29,050]-[INFO]-CommuServer(417)成功初始化初始化参数下发配置!
[2019-11-05 11:14:29,051]-[INFO]-CommuServer(421)成功初始化应用相关配置!
[2019-11-05 11:14:29,051]-[INFO]-CommuServer(689)FtpLocalDir:E:/ftpClient/ACCCommu/receive
[2019-11-05 11:14:29,052]-[INFO]-CommuServer(702)BusFtpLocalDir:E:/ftpClient/ACCCommu/import
[2019-11-05 11:14:29,052]-[INFO]-CommuServer(425)成功初始化FTP配置!
[2019-11-05 11:14:29,202]-[DEBUG]-DbcpHelper(34)driverName: oracle.jdbc.driver.OracleDriver
[2019-11-05 11:14:29,202]-[DEBUG]-DbcpHelper(35)URL: jdbc:oracle:thin:@172.20.19.29:1521:wacc
[2019-11-05 11:14:29,202]-[DEBUG]-DbcpHelper(36)dbName: null
[2019-11-05 11:14:29,203]-[DEBUG]-DbcpHelper(39)maxActive: 5
[2019-11-05 11:14:29,203]-[DEBUG]-DbcpHelper(40)maxIdle: 20
[2019-11-05 11:14:29,205]-[DEBUG]-DbcpHelper(41)maxWait: 20000
[2019-11-05 11:14:29,206]-[INFO]-CommuServer(867)运营库连接池OpConnectionPool创建!
[2019-11-05 11:14:29,207]-[DEBUG]-DbcpHelper(34)driverName: oracle.jdbc.driver.OracleDriver
[2019-11-05 11:14:29,207]-[DEBUG]-DbcpHelper(35)URL: jdbc:oracle:thin:@172.20.19.29:1521:wacc
[2019-11-05 11:14:29,207]-[DEBUG]-DbcpHelper(36)dbName: null
[2019-11-05 11:14:29,207]-[DEBUG]-DbcpHelper(39)maxActive: 5
[2019-11-05 11:14:29,207]-[DEBUG]-DbcpHelper(40)maxIdle: 20
[2019-11-05 11:14:29,208]-[DEBUG]-DbcpHelper(41)maxWait: 20000
[2019-11-05 11:14:29,208]-[INFO]-CommuServer(879)通讯库连接池CmConnectionPool创建!
[2019-11-05 11:14:29,216]-[DEBUG]-DbcpHelper(34)driverName: oracle.jdbc.driver.OracleDriver
[2019-11-05 11:14:29,216]-[DEBUG]-DbcpHelper(35)URL: jdbc:oracle:thin:@172.20.19.29:1521:wacc
[2019-11-05 11:14:29,216]-[DEBUG]-DbcpHelper(36)dbName: null
[2019-11-05 11:14:29,217]-[DEBUG]-DbcpHelper(39)maxActive: 5
[2019-11-05 11:14:29,217]-[DEBUG]-DbcpHelper(40)maxIdle: 10
[2019-11-05 11:14:29,217]-[DEBUG]-DbcpHelper(41)maxWait: 20000
[2019-11-05 11:14:29,219]-[INFO]-CommuServer(889)票务库连接池TkConnectionPool创建!
[2019-11-05 11:14:29,219]-[INFO]-CommuServer(435)成功初始化数据库连接池!
[2019-11-05 11:14:29,220]-[INFO]-CommuServer(439)成功初始化线程池配置!
[2019-11-05 11:14:29,220]-[INFO]-CommuServer(443)成功初始化线程池监控配置!
[2019-11-05 11:14:29,221]-[INFO]-CommuServer(447)成功初始化设备参数版本查询配置!
[2019-11-05 11:14:29,221]-[INFO]-CommuServer(451)成功初始化参数自动下发配置!
[2019-11-05 11:14:29,221]-[INFO]-CommuServer(455)成功初始化启动选项控制!
[2019-11-05 11:14:29,221]-[INFO]-CommuServer(460)成功初始化FTP路径!
[2019-11-05 11:14:30,840]-[INFO]-CommuServer(919)运营时间:0205
