[2019-06-08 16:35:34,930]-[INFO]-ConnectionReaderNormal(114)读取到的终端消息：[48, 56, 32, 24, 9, 32, 6, 0, 5, 42, 48, 49, 49, 48, 48, 50, 49, 48, 49, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 50, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 51, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 52, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 53, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 54, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 55, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 56, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 48, 57, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 50, 49, 49, 48, 0, 0, 0, 22, 3, 33, 3, 52, 3, 64, 3, 84, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 100, 4, 113, 4, -128, 4, -111, 5, 1, 5, 80, 5, 96, 6, 0, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 51, 49, 53, 49, 0, 0, 0, 14, 0, 0, 3, -128, 3, 0, 4, 49, 4, 80, 4, 100, 4, 113, 5, 80, 5, 97, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 51, 49, 53, 50, 0, 0, 0, 14, 0, 1, 3, -128, 3, 0, 4, 48, 4, 80, 4, 100, 4, 116, 5, 80, 5, 97, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 51, 49, 53, 51, 0, 0, 0, 14, 0, 1, 3, -128, 3, 0, 4, 48, 4, 80, 4, 100, 4, 113, 5, 80, 5, 97, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 51, 49, 53, 52, 0, 0, 0, 14, 0, 1, 3, -128, 3, 0, 4, 48, 4, 80, 4, 100, 4, 113, 5, 80, 5, 97, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 48, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 49, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 50, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 51, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 52, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 56, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 52, 57, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 53, 48, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 53, 49, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 52, 48, 53, 50, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 51, 49, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 51, 50, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 51, 51, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 51, 52, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -128, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 51, 53, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 51, 54, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 53, 52, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 53, 53, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 53, 54, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 53, 55, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 53, 56, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 53, 48, 53, 57, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 54, 48, 51, 55, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 54, 48, 51, 57, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 54, 48, 52, 55, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 48, 54, 48, 54, 48, 0, 0, 0, 13, 0, 0, 3, -128, 4, 32, 4, 80, 4, -126, 5, 80, 5, 96, 3, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 49, 48, 49, 51, 49, 0, 0, 0, 15, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 97, 4, 113, 4, -128, 5, 80, 5, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80, 48, 49, 49, 48, 49, 48, 49, 51, 50, 0, 0, 0, 15, 3, -128, 3, 0, 4, 32, 4, 48, 4, 80, 4, 97, 4, 112, 4, -128, 5, 80, 5, 96, 4, 64, 0, 16, 0, 32, 0, 96, 0, 80]
[2019-06-08 16:35:34,948]-[INFO]-CommuConnection(439)当前消息处理线程名称:0
[2019-06-08 16:35:34,978]-[INFO]-CommuMessageHandleThread(216)0:left msgs =0
[2019-06-08 16:35:34,979]-[INFO]-CommuMessageHandleThread(65)线程名[0]有需要处理的消息
[2019-06-08 16:35:35,024]-[INFO]-MessageProcessor(44)runMsg begin ...
[2019-06-08 16:35:35,024]-[INFO]-MessageProcessor(57)请求的消息类型：08
[2019-06-08 16:35:35,069]-[INFO]-Message08(38)--处理08消息开始--
[2019-06-08 16:35:35,070]-[WARN]-Message08(86)设备重复次数N:42
[2019-06-08 16:35:35,070]-[WARN]-Message08(97)状态重复次数N1:22
[2019-06-08 16:35:35,094]-[INFO]-Message08(184)highStatus set:3
